MarketOrderId,SellerOrderId,SalesChannel,ShipMethod,TrackingNumber,CartonWeight,Carrier,Class,ShippedCarrierCode,MarkupCost,NegotiatedCost
4338,PO # 105107,CUS229 ,,`782181252362,"34.2000,34.2000,34.2000,34.2000,6.2000","FEDEX,FEDEX,FEDEX,FEDEX,FEDEX","FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®","F90,F90,F90,F90,F90",137.61,105.85
4338,PO # 105107,CUS229 ,,`782181253211,"34.2000,34.2000,34.2000,34.2000,6.2000","FEDEX,FEDEX,FEDEX,FEDEX,FEDEX","FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®","F90,F90,F90,F90,F90",137.61,105.85
4338,PO # 105107,CUS229 ,,`782181254480,"34.2000,34.2000,34.2000,34.2000,6.2000","FEDEX,FEDEX,FEDEX,FEDEX,FEDEX","FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®","F90,F90,F90,F90,F90",137.61,105.85
4338,PO # 105107,CUS229 ,,`782181255225,"34.2000,34.2000,34.2000,34.2000,6.2000","FEDEX,FEDEX,FEDEX,FEDEX,FEDEX","FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®","F90,F90,F90,F90,F90",137.61,105.85
4338,PO # 105107,CUS229 ,,`782181255534,"34.2000,34.2000,34.2000,34.2000,6.2000","FEDEX,FEDEX,FEDEX,FEDEX,FEDEX","FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®","F90,F90,F90,F90,F90",137.61,105.85
4338,PO # 105107,CUS229 ,,`782181252362,"34.2000,34.2000,6.2000","FEDEX,FEDEX,FEDEX","FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®","F90,F90,F90",137.61,105.85
4338,PO # 105107,CUS229 ,,`782181253211,"34.2000,34.2000,6.2000","FEDEX,FEDEX,FEDEX","FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®","F90,F90,F90",137.61,105.85
4338,PO # 105107,CUS229 ,,`782181255534,"34.2000,34.2000,6.2000","FEDEX,FEDEX,FEDEX","FedEx Home Delivery®,FedEx Home Delivery®,FedEx Home Delivery®","F90,F90,F90",137.61,105.85
97637,,CUS518 ,,`420030869374811015300232208540,0.2562,DHLAPI,DHL SmartMail LWP Ground,D32,4.46,3.67
97547,,CUS518 ,,`420034319361211015300232069138,3.75,DHLAPI,DHL SmartMail Parcel Expedited,D43,14.39,11.84
97547,,CUS518 ,,`420034319361211015300232069138,3.75,DHLAPI,DHL SmartMail Parcel Expedited,D43,14.39,11.84
97718,,CUS518 ,,`420025549361211015300232917408,1.5438,DHLAPI,DHL SmartMail Parcel Expedited,D43,9.68,7.96
97691,,CUS518 ,,`1Z5896F10323570033,4.575,UPS,UPS® Ground,U11,14.76,11.35
97815,,CUS518 ,,`420535319374811015300232056929,0.9312,DHLAPI,DHL SmartMail LWP Ground,D32,6.1,5.02
97815,,CUS518 ,,`420535319374811015300232056929,0.9312,DHLAPI,DHL SmartMail LWP Ground,D32,6.1,5.02
97666,,CUS518 ,,`420105369374811015300232245040,0.25,DHLAPI,DHL SmartMail LWP Ground,D32,4.18,3.44
97546,,CUS518 ,,`1Z5896F10316077974,4.6625,UPS,UPS® Ground,U11,14.76,11.35
#LC2014US,5.41527E+12,ICL101 ,OTHER STANDARD,`420770779374811015300226412137,0.9,DHLAPI,DHL SmartMail LWP Expedited Max,D20,7.66,6.3
#LC2014US,5.41527E+12,ICL101 ,OTHER STANDARD,`420770779374811015300226412137,0.9,DHLAPI,DHL SmartMail LWP Expedited Max,D20,7.66,6.3
