Zone,Price,Package Weight OZ
1,$4.18 ,1
1,$4.19 ,2
1,$4.19 ,3
1,$4.19 ,4
1,$4.43 ,5
1,$4.49 ,6
1,$4.53 ,7
1,$4.57 ,8
1,$5.01 ,9
1,$5.04 ,10
1,$5.09 ,11
1,$5.13 ,12
1,$5.59 ,13
1,$5.62 ,14
1,$5.69 ,15
1,$5.72 ,16
2,$4.18 ,1
2,$4.19 ,2
2,$4.19 ,3
2,$4.19 ,4
2,$4.43 ,5
2,$4.49 ,6
2,$4.53 ,7
2,$4.57 ,8
2,$5.01 ,9
2,$5.04 ,10
2,$5.09 ,11
2,$5.13 ,12
2,$5.59 ,13
2,$5.62 ,14
2,$5.69 ,15
2,$5.72 ,16
3,$4.20 ,1
3,$4.22 ,2
3,$4.22 ,3
3,$4.22 ,4
3,$4.47 ,5
3,$4.51 ,6
3,$4.56 ,7
3,$4.61 ,8
3,$5.04 ,9
3,$5.09 ,10
3,$5.13 ,11
3,$5.20 ,12
3,$5.64 ,13
3,$5.69 ,14
3,$5.74 ,15
3,$5.78 ,16
4,$4.29 ,1
4,$4.29 ,2
4,$4.29 ,3
4,$4.30 ,4
4,$4.56 ,5
4,$4.63 ,6
4,$4.69 ,7
4,$4.77 ,8
4,$5.22 ,9
4,$5.29 ,10
4,$5.37 ,11
4,$5.42 ,12
4,$5.91 ,13
4,$5.98 ,14
4,$6.03 ,15
4,$6.11 ,16
5,$4.63 ,1
5,$4.63 ,2
5,$4.63 ,3
5,$4.64 ,4
5,$4.99 ,5
5,$5.14 ,6
5,$5.29 ,7
5,$5.44 ,8
5,$5.99 ,9
5,$6.13 ,10
5,$6.30 ,11
5,$6.44 ,12
5,$7.01 ,13
5,$7.17 ,14
5,$7.31 ,15
5,$7.47 ,16
6,$4.69 ,1
6,$4.69 ,2
6,$4.71 ,3
6,$4.71 ,4
6,$5.10 ,5
6,$5.26 ,6
6,$5.44 ,7
6,$5.60 ,8
6,$6.16 ,9
6,$6.34 ,10
6,$6.50 ,11
6,$6.69 ,12
6,$7.28 ,13
6,$7.43 ,14
6,$7.61 ,15
6,$7.78 ,16
7,$4.76 ,1
7,$4.76 ,2
7,$4.76 ,3
7,$4.77 ,4
7,$5.16 ,5
7,$5.34 ,6
7,$5.52 ,7
7,$5.71 ,8
7,$6.30 ,9
7,$6.47 ,10
7,$6.67 ,11
7,$6.84 ,12
7,$7.44 ,13
7,$7.62 ,14
7,$7.80 ,15
7,$7.99 ,16
8,$4.77 ,1
8,$4.77 ,2
8,$4.77 ,3
8,$4.78 ,4
8,$5.16 ,5
8,$5.34 ,6
8,$5.53 ,7
8,$5.72 ,8
8,$6.30 ,9
8,$6.48 ,10
8,$6.68 ,11
8,$6.86 ,12
8,$7.46 ,13
8,$7.64 ,14
8,$7.81 ,15
8,$8.01 ,16
11,$6.66 ,1
11,$6.66 ,2
11,$6.66 ,3
11,$6.66 ,4
11,$7.05 ,5
11,$7.05 ,6
11,$7.05 ,7
11,$7.05 ,8
11,$8.16 ,9
11,$8.16 ,10
11,$8.16 ,11
11,$8.16 ,12
11,$9.98 ,13
11,$9.98 ,14
11,$9.98 ,15
11,$9.98 ,16
12,$6.66 ,1
12,$6.66 ,2
12,$6.66 ,3
12,$6.66 ,4
12,$7.05 ,5
12,$7.05 ,6
12,$7.05 ,7
12,$7.05 ,8
12,$8.16 ,9
12,$8.16 ,10
12,$8.16 ,11
12,$8.16 ,12
12,$9.98 ,13
12,$9.98 ,14
12,$9.98 ,15
12,$9.98 ,16
13,$6.66 ,1
13,$6.66 ,2
13,$6.66 ,3
13,$6.66 ,4
13,$7.05 ,5
13,$7.05 ,6
13,$7.05 ,7
13,$7.05 ,8
13,$8.16 ,9
13,$8.16 ,10
13,$8.16 ,11
13,$8.16 ,12
13,$9.98 ,13
13,$9.98 ,14
13,$9.98 ,15
13,$9.98 ,16
