Zone,Price,Weight,Service
1,$5.72 ,1,DHL SmartMail Parcel Ground
2,$5.72 ,1,DHL SmartMail Parcel Ground
3,$5.78 ,1,DHL SmartMail Parcel Ground
4,$6.11 ,1,DHL SmartMail Parcel Ground
5,$7.47 ,1,DHL SmartMail Parcel Ground
6,$7.78 ,1,DHL SmartMail Parcel Ground
7,$7.99 ,1,DHL SmartMail Parcel Ground
8,$8.01 ,1,DHL SmartMail Parcel Ground
1,$7.00 ,2,DHL SmartMail Parcel Ground
2,$7.00 ,2,DHL SmartMail Parcel Ground
3,$7.14 ,2,DHL SmartMail Parcel Ground
4,$7.78 ,2,DHL SmartMail Parcel Ground
5,$10.47 ,2,DHL SmartMail Parcel Ground
6,$11.11 ,2,DHL SmartMail Parcel Ground
7,$11.52 ,2,DHL SmartMail Parcel Ground
8,$11.55 ,2,DHL SmartMail Parcel Ground
1,$7.89 ,3,DHL SmartMail Parcel Ground
2,$7.89 ,3,DHL SmartMail Parcel Ground
3,$8.09 ,3,DHL SmartMail Parcel Ground
4,$9.06 ,3,DHL SmartMail Parcel Ground
5,$13.11 ,3,DHL SmartMail Parcel Ground
6,$14.05 ,3,DHL SmartMail Parcel Ground
7,$14.68 ,3,DHL SmartMail Parcel Ground
8,$14.71 ,3,DHL SmartMail Parcel Ground
1,$8.54 ,4,DHL SmartMail Parcel Ground
2,$8.54 ,4,DHL SmartMail Parcel Ground
3,$8.81 ,4,DHL SmartMail Parcel Ground
4,$10.08 ,4,DHL SmartMail Parcel Ground
5,$15.49 ,4,DHL SmartMail Parcel Ground
6,$16.74 ,4,DHL SmartMail Parcel Ground
7,$17.59 ,4,DHL SmartMail Parcel Ground
8,$17.64 ,4,DHL SmartMail Parcel Ground
1,$4.18 ,1,DHL SmartMail Parcel Expedited Max
1,$4.19 ,2,DHL SmartMail Parcel Expedited Max
1,$4.19 ,3,DHL SmartMail Parcel Expedited Max
1,$4.19 ,4,DHL SmartMail Parcel Expedited Max
1,$4.43 ,5,DHL SmartMail Parcel Expedited Max
1,$4.49 ,6,DHL SmartMail Parcel Expedited Max
1,$4.53 ,7,DHL SmartMail Parcel Expedited Max
1,$4.57 ,8,DHL SmartMail Parcel Expedited Max
1,$5.01 ,9,DHL SmartMail Parcel Expedited Max
1,$5.04 ,10,DHL SmartMail Parcel Expedited Max
1,$5.09 ,11,DHL SmartMail Parcel Expedited Max
1,$5.13 ,12,DHL SmartMail Parcel Expedited Max
1,$5.59 ,13,DHL SmartMail Parcel Expedited Max
1,$5.62 ,14,DHL SmartMail Parcel Expedited Max
1,$5.69 ,15,DHL SmartMail Parcel Expedited Max
